,item_name,calories,protein,carbs,fat
0,Chicken Pot Pie Soup 12 ozl,301.510,22.150,31.460,13.55
1,Chicken Pot Pie Soup 8 ozl,201.007,14.767,20.973,9.033
2,Shanghai Chicken,758.908,34.330,79.815,37.832
3,Broccoli & Cauliflower,22.627,2.092,4.282,0.34700000000000003
4,Brown Rice,107.417,2.393,22.339,1.068
5,Stuffed Portabella w/Mornay Sauce,418.612,18.025,21.614,41.109
6,BBQ Sauce,51.786,0.000,13.464,0.0
7,Baby Spinach,6.521,0.811,1.029,0.129
8,Baked Ham,135.000,18.900,4.052,5.404
9,Balsamic Vinegar,37.620,0.210,7.280,0.0
10,Banana Pepper Rings,7.654,0.470,1.516,0.14200000000000002
11,Black Pepper,0.074,0.003,0.019,0.001
12,Canola Oil,112.500,0.000,0.000,14.063
13,Capicola,184.844,18.824,4.344,13.08
14,Chicken Salad Croissant,606.483,23.364,14.237,48.083
15,Chipotle Mayonnaise,214.029,0.288,1.076,26.953
16,Dill Pickle Spear,4.200,0.175,0.844,0.133
17,Extra Baked Ham,67.500,9.450,2.026,2.702
18,Extra Capicola,92.422,9.412,2.172,6.54
19,Extra Genoa Salami,147.988,7.144,1.076,18.18
20,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
21,Extra Grilled Chicken Strips,69.526,12.826,0.676,2.364
22,Extra Italian Meats,93.853,8.864,1.825,7.531
23,Extra Roast Beef,92.988,16.132,0.000,3.56
24,Extra Sliced Bacon,126.000,7.875,1.575,13.388
25,Extra Sliced Turkey,60.750,10.126,2.026,1.518
26,Extra Tuna Salad,147.381,13.349,0.840,11.453
27,Genoa Salami,295.976,14.288,2.152,36.36
28,Grated Parmesan Cheese,14.884,1.007,0.493,1.532
29,Grilled Chicken Breast,189.418,39.592,0.020,3.444
30,Half Baked Ham,67.500,9.450,2.026,2.702
31,Half Capicola,92.422,9.412,2.172,6.54
32,Half Chicken Tenders,212.674,12.667,12.667,15.049000000000001
33,Half Genoa Salami,147.988,7.144,1.076,18.18
34,Half Grilled Chicken Breast,94.709,19.796,0.010,1.722
35,Half Grilled Chicken Strips,69.526,12.826,0.676,2.364
36,Half Italian Meats,93.853,8.864,1.825,7.531
37,Half Roast Beef,92.988,16.132,0.000,3.56
38,Half Sliced Bacon,220.500,13.781,2.756,23.429000000000002
39,Half Sliced Turkey,60.750,10.126,2.026,1.518
40,Half Tuna Salad,147.381,13.349,0.840,11.453
41,Half White Sub Roll,128.000,4.000,26.000,0.5
42,Ham & Swiss on a Pretzel Bun,559.667,31.906,59.810,29.647999999999996
43,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
44,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
45,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
46,Honey Mustard,141.230,0.265,7.101,13.950000000000001
47,Hot Sauce,3.554,0.165,0.565,0.137
48,Italian Dressing,153.076,0.727,0.553,18.608999999999998
49,Italian Meats,187.705,17.728,3.650,15.062
54,Mayonnaise,189.000,0.000,0.000,23.626
55,Mustard Yellow,0.000,0.000,0.000,0.0
56,Oregano,2.084,0.071,0.542,0.046
57,Panini Bread,397.770,12.754,76.178,4.436
58,Pizza Sauce,17.685,0.714,2.836,0.528
59,Plain Wrap,260.000,8.000,47.000,7.5
60,Ranch Dressing,118.182,0.192,0.466,14.401
61,Red Wine Vinegar,5.464,0.012,0.076,0.0
62,Roast Beef,185.976,32.264,0.000,7.12
63,Salt,0.000,0.000,0.000,0.0
64,Shredded Lettuce,3.969,0.255,0.841,0.045
65,Sliced Bacon,441.000,27.561,5.511,46.858
66,Sliced Green Peppers,5.670,0.244,1.315,0.064
67,Sliced Onions,11.340,0.312,2.648,0.04
68,Sliced Tomatoes,3.408,0.166,0.736,0.044
69,Sliced Turkey,121.500,20.252,4.052,3.036
70,Sweet Green and Red Pepper Strips,5.568,0.000,1.012,0.0
71,Tuna Salad,294.762,26.697,1.680,22.905
72,Tuna Salad Croissant,496.561,24.381,14.092,34.456
73,Turkey on a Pretzel Bun,489.043,31.425,57.954,24.172
74,Garlic Parmesan Truffle Fries,230.485,3.338,28.583,10.077
75,Garlic Parmesan Truffle Fries,230.485,3.338,28.583,10.077
76,Ranch Lattice Fries,240.369,3.191,33.648,7.684
77,Smokehouse Burger,1046.019,52.277,64.854,91.214
78,5 oz. Hamburger,350.382,23.708,0.000,39.929
79,Buffalo Chicken Sandwich,699.294,26.390,56.808,50.907000000000004
81,Cheeseburger Single,664.215,33.574,41.976,55.133
82,Chicken Fritters,495.529,30.494,36.212,30.494
83,Dill Pickle Chips,0.996,0.000,0.199,0.0
84,Double Cheeseburger,1066.297,59.882,42.618,101.998
85,Double Hamburger Single,962.536,54.742,41.263,88.172
86,Extra 5 oz. Hamburger,350.382,23.708,0.000,39.929
87,Extra Baked Ham,67.500,9.450,2.026,2.702
88,Extra Sliced Bacon,201.600,14.400,0.000,24.48
89,Extra Sliced Bacon,201.600,14.400,0.000,24.48
90,Extra Veggie Burger Patty,170.000,7.000,21.000,6.0
91,Fried Chicken Sandwich,610.819,29.494,57.218,36.308
92,Fries,307.980,2.700,31.050,23.31
93,Fries,307.980,2.700,31.050,23.31
94,GF Hamburger Roll,485.714,7.286,99.571,6.071
95,Grilled Cheese PSU,831.788,33.309,78.254,64.863
96,Grilled Chicken Sandwich,429.408,33.414,40.218,19.391
97,Hamburger Single,612.154,31.034,41.263,48.243
98,Ketchup,33.353,0.000,8.338,0.0
99,Mayonnaise,189.000,0.000,0.000,23.626
100,Potato Roll,210.000,7.000,38.000,3.5
101,Provolone Cheese,101.250,7.088,1.013,12.151
102,Shredded Lettuce,3.969,0.255,0.841,0.045
103,Sliced American Cheese,103.761,5.141,1.355,13.826
104,Sliced Bacon,201.600,14.400,0.000,24.48
105,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
106,Sliced Monterey Jack Cheese,116.943,6.379,1.063,13.821000000000002
107,Sliced Onions,11.340,0.312,2.648,0.04
108,Sliced Tomatoes,3.408,0.166,0.736,0.044
109,Spicy Fried Chicken Sandwich,210.000,7.000,38.000,3.5
110,Veggie Burger,387.419,14.295,60.615,9.566
111,Veggie Burger Patty,170.000,7.000,21.000,6.0
112,Apricot Upside Down Cupcake,744.000,8.300,126.000,30.5
113,Beef Cheese Steak Panini,581.018,30.243,61.616,30.546999999999997
114,Grasshopper Fudge Bundt Cake,428.000,6.300,68.100,20.0
115,Onion Poppy Danish,179.100,3.090,20.780,14.915
116,Tex Mex Panini Wrap,662.769,31.740,55.801,51.489
117,Cheese Pizza,2627.528,133.416,305.032,155.424
118,Cheese Pizza Slice,328.441,16.677,38.129,19.428
119,Pepperoni  Pizza,2913.296,144.328,305.696,191.704
120,Pepperoni  Pizza Slice,364.162,18.041,38.212,23.963
121,Cheesesteak Stromboli,621.205,30.572,69.324,33.022999999999996
123,Fresh Fruit and Yogurt Parfait Assorted Nuts,213.511,8.047,26.397,12.904
124,Fresh Fruit and Yogurt Parfait Assorted Nuts,286.112,12.704,39.821,14.198
125,Belgian Waffle,376.143,6.966,73.835,5.572
126,Blueberry Bagels,280.000,9.000,58.000,1.0
127,Butter PC,50.736,0.060,0.004,9.373999999999999
128,Cinnamon Raisin Bagels,290.000,9.000,62.000,1.0
129,Cream Cheese,99.225,1.744,1.565,15.494
130,Everything Bagels,290.000,10.000,61.000,1.0
131,Gluten Free Bread,98.182,1.091,19.636,3.2729999999999997
132,Grape Jelly,3.525,0.000,0.906,0.0
133,Maple Flavored Syrup,196.762,0.000,51.678,0.088
134,Peanut Butter,121.486,4.050,5.062,12.149000000000001
135,Plain Bagels,290.000,10.000,61.000,1.0
136,Strawberry Jelly,39.198,0.052,9.709,0.011
137,Wheat Bread,67.533,2.533,12.663,1.266
138,White Bread,63.056,1.802,12.611,0.45
139,Bananas,107.085,1.311,27.481,0.532
140,Blue & White Pancakes,144.363,3.473,20.876,6.053
141,Blueberry Pancakes,141.460,3.434,20.516,5.763999999999999
142,CYO Breakfast Burrito,0.000,0.000,0.000,0.0
143,CYO Omelet,0.000,0.000,0.000,0.0
144,Chocolate Chip Pancakes,155.450,3.645,22.334,7.212
145,French Toast Sticks,459.725,6.133,47.830,31.711
146,Fried Eggs,88.282,6.078,0.371,8.652
147,Hash Browned Patty,137.778,0.984,14.762,9.349
148,JUST Eggs,150.237,10.512,4.505,11.270999999999999
150,Oranges,118.440,2.369,29.610,0.33999999999999997
151,Pancakes,139.574,3.418,20.066,5.7379999999999995
152,Pancakes w Candy Coated Pieces,178.233,3.694,25.865,8.085
153,Red Apple,164.320,0.822,43.640,0.625
154,Red Skin Potatoes O'Brien,76.641,1.431,11.713,3.288
155,Sausage Patty,202.500,9.113,1.013,25.313000000000002
156,Scrambled Egg Whites,57.084,11.929,1.168,0.048
157,Scrambled Eggs,173.699,14.884,0.000,14.89
158,Sliced Bacon,302.400,21.600,0.000,36.72
159,Strawberry Banana Pancakes,152.024,3.579,23.246,5.804
160,Tater Tots,210.862,1.013,17.212,18.003999999999998
161,Turkey Bacon,94.500,9.450,0.000,7.875
162,Turkey Sausage Patty,85.095,7.564,0.000,8.51
163,Baby Spinach,1.630,0.203,0.257,0.032
164,Bacon Bits,132.300,9.450,0.000,16.064999999999998
165,Bagel,150.806,4.435,30.161,0.444
166,Broccoli Florets,7.938,0.845,1.435,0.114
167,Croissant,261.053,4.351,26.105,21.753999999999998
168,Diced Green Pepper,5.670,0.244,1.315,0.064
169,Diced Green Peppers,7.938,0.261,1.899,0.065
170,Diced Ham,33.750,4.725,1.013,1.351
171,Diced Ham,33.750,4.725,1.013,1.351
172,Diced Onions,11.340,0.312,2.648,0.04
173,Diced Tomatoes,5.103,0.249,1.103,0.065
174,Diced Tomatoes,5.103,0.249,1.103,0.065
175,Egg White Omelet,56.700,11.930,1.168,0.0
176,"Egg, Sausage and Cheese Bagel",545.349,24.767,32.900,48.235
177,Extra Fried Egg,88.282,6.078,0.371,8.652
178,"Fried Egg, Cheese, & Bacon Bagel",573.502,31.493,32.266,51.272999999999996
179,"Fried Egg, Cheese, Bacon Croissant",619.500,28.226,27.371,64.02199999999999
180,"Fried Egg, Cheese, Sausage Croissant",620.400,22.939,28.384,64.855
181,Fried Eggs Breakfast Sandwich,88.282,6.078,0.371,8.652
182,Gluten Free Bread,196.364,2.182,39.272,6.545999999999999
183,Hot Sauce,3.554,0.165,0.565,0.137
184,JUST Eggs,200.316,14.016,6.007,15.027999999999999
185,Just Eggs,200.316,14.016,6.007,15.027999999999999
186,Omelet Bar,165.663,14.200,0.000,14.2
187,Plain Wrap,260.000,8.000,47.000,7.5
188,Provolone Cheese,101.250,7.088,1.013,12.151
189,Provolone Cheese,101.250,7.088,1.013,12.151
190,Salsa,8.428,0.442,1.930,0.055
191,Sausage Patty,202.500,9.113,1.013,25.313000000000002
192,Sausage Patty,101.250,4.557,0.507,12.657
193,Scrambled Egg Whites,57.084,11.929,1.168,0.048
194,Scrambled Eggs,173.699,14.884,0.000,14.89
195,Shredded Cheddar Cheese,111.375,6.075,1.013,14.175
196,Shredded Cheddar Cheese,111.375,6.075,1.013,14.175
197,Shredded Mozzarella Cheese,95.175,6.581,1.013,11.644
198,Sliced American Cheese,103.761,5.141,1.355,13.826
199,Sliced American Cheese,103.761,5.141,1.355,13.826
200,Sliced Bacon,201.600,14.400,0.000,24.48
201,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
202,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
203,Sliced Jalapeno Peppers,7.655,0.261,1.344,0.29300000000000004
204,Sliced Mushrooms,7.088,0.530,1.443,0.093
205,Sliced Mushrooms,6.237,0.876,0.924,0.11
206,Sliced Onions,11.340,0.312,2.648,0.04
207,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
208,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
209,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
210,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
211,Sour Cream,80.933,0.997,1.893,12.053999999999998
212,Turkey Bacon,63.000,6.300,0.000,5.25
213,Turkey Bacon,31.500,3.150,0.000,2.625
214,Turkey Sausage Patty,85.095,7.564,0.000,8.51
215,Turkey Sausage Patty,42.548,3.782,0.000,4.256
216,Vegan American Cheese,70.000,1.000,5.000,9.5
217,Vegan American Cheese,70.000,1.000,5.000,9.5
218,Assorted Decorated Cut Out Cookies,151.092,2.068,19.740,11.853
219,Banana Chocolate Chip Loaf,393.531,5.091,70.637,20.608
220,Banana Nut Muffin,408.364,6.412,60.494,24.205
221,Berry Smoothie,380.000,1.000,140.000,0.0
222,Blueberry Muffin,414.602,7.257,62.182,18.061999999999998
223,Blueberry Scone,335.117,5.349,53.725,17.672
224,CYO Ice Cream,0.000,0.000,0.000,0.0
225,Caribbean Smoothie,560.000,0.000,138.000,0.0
226,Chocolate Chip Muffin,337.611,5.339,43.463,22.72
227,Chocolate Donut,300.438,4.539,35.806,27.479999999999997
228,Chocolate Hazelnut Hand Tart,618.908,4.292,72.273,27.851
229,Chocolate Milkshake,743.084,12.602,97.836,57.4
230,Cinnamon Sugar Donut,271.275,4.461,33.690,24.457
231,Croissant,293.923,6.170,11.715,19.111
232,Everything Bagel Croissant,320.631,5.098,25.891,34.943
233,Glazed Donut,329.924,4.412,48.460,24.265
234,Ham & Cheese Croissant,478.688,11.440,45.159,45.461
235,Ice Cream Cone,5.000,0.000,1.000,0.0
236,Individual Blueberry Cheesecake,754.475,9.839,61.884,80.809
237,Lemon Bundt Cake w/ Poppy Seed,25.076,4.874,47.393,13.198999999999998
238,Mango Smoothie,560.000,0.000,136.000,0.0
239,Pumpkin Bread,525.805,6.464,85.461,30.813
240,Strawberry Banana Smoothie,560.000,13.000,124.000,1.0
241,Vanilla Iced Donut,290.398,4.413,38.397,24.266
242,Vanilla Milkshake,778.496,10.170,83.738,52.41
243,Zucchini Bread,400.440,7.469,89.760,8.687999999999999
244,Berry Smoothie,380.000,1.000,140.000,0.0
245,Blueberry Bagels,280.000,9.000,58.000,1.0
246,Blueberry Muffin,414.602,7.257,62.182,18.061999999999998
247,Caribbean Smoothie,560.000,0.000,138.000,0.0
248,Chocolate Chip Muffin,337.611,5.339,43.463,22.72
249,Chocolate Donut,300.438,4.539,35.806,27.479999999999997
250,Cinnamon Raisin Bagels,290.000,9.000,62.000,1.0
251,Cinnamon Sugar Donut,271.275,4.461,33.690,24.457
252,Croissant,293.923,6.170,11.715,19.111
253,Everything Bagels,290.000,10.000,61.000,1.0
254,Mango Smoothie,560.000,0.000,136.000,0.0
255,Plain Bagels,290.000,10.000,61.000,1.0
256,Strawberry Banana Smoothie,560.000,13.000,124.000,1.0
257,Vanilla Iced Donut,290.398,4.413,38.397,24.266
258,Zucchini Bread,400.440,7.469,89.760,8.687999999999999
260,Chicken Noodle Soup 12 ozl,121.654,15.906,8.624,2.844
261,Chicken Noodle Soup 8 ozl,81.103,10.604,5.749,1.896
262,Chicken Asiago w/Bow Tie Pasta,596.377,23.495,13.997,79.688
263,Shrimp Po Boy w/Popcorn Shrimp,746.703,18.829,55.292,57.187999999999995
264,Asparagus & Tomatoes,77.958,1.745,3.902,9.579
265,Roasted Rosemary Potatoes,117.308,2.179,17.860,4.869
266,Chicken Parm Panini,784.275,35.465,96.736,35.099000000000004
272,BBQ Sauce,51.786,0.000,13.464,0.0
273,Baby Spinach,6.521,0.811,1.029,0.129
274,Baked Ham,135.000,18.900,4.052,5.404
275,Banana Pepper Rings,7.654,0.470,1.516,0.14200000000000002
276,Black Pepper,0.074,0.003,0.019,0.001
277,Caesar Dressing,173.609,0.695,1.057,21.345000000000002
278,Capicola,184.844,18.824,4.344,13.08
279,Chicken Tenders,425.348,25.334,25.334,30.098000000000003
280,Chipotle Mayonnaise,214.029,0.288,1.076,26.953
281,Crushed Red Pepper,5.289,0.200,0.942,0.34099999999999997
282,Dill Pickle Chips,0.996,0.000,0.199,0.0
283,Dill Pickle Spear,4.200,0.175,0.844,0.133
284,Dried Basil,1.832,0.181,0.375,0.049
285,Extra Baked Ham,67.500,9.450,2.026,2.702
286,Extra Capicola,92.422,9.412,2.172,6.54
287,Extra Chicken Tenders,212.674,12.667,12.667,15.049000000000001
288,Extra Genoa Salami,147.988,7.144,1.076,18.18
289,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
290,Extra Italian Meats,93.853,8.864,1.825,7.531
291,Extra Roast Beef,92.988,16.132,0.000,3.56
292,Extra Sliced Bacon,302.400,21.600,0.000,36.72
293,Extra Sliced Turkey,60.750,10.126,2.026,1.518
294,Extra Tuna Salad,147.381,13.349,0.840,11.453
295,GF Sub Roll,470.000,12.000,76.000,15.0
296,GF Sub Roll,235.000,6.000,38.000,7.5
297,Garlic Salt,0.000,0.000,0.000,0.0
298,Genoa Salami,295.976,14.288,2.152,36.36
299,Gluten Free Bread,196.364,2.182,39.272,6.545999999999999
300,Gluten Free Plain Wrap,220.000,6.000,45.000,11.0
301,Grated Parmesan Cheese,14.884,1.007,0.493,1.532
302,Grilled Chicken Breast,189.418,39.592,0.020,3.444
303,Half Baked Ham,67.500,9.450,2.026,2.702
304,Half Capicola,92.422,9.412,2.172,6.54
305,Half Chicken Tenders,212.674,12.667,12.667,15.049000000000001
306,Half Genoa Salami,147.988,7.144,1.076,18.18
307,Half Grilled Chicken Breast,94.709,19.796,0.010,1.722
308,Half Italian Meats,93.853,8.864,1.825,7.531
309,Half Roast Beef,92.988,16.132,0.000,3.56
310,Half Sliced Turkey,60.750,10.126,2.026,1.518
311,Half Tuna Salad,147.381,13.349,0.840,11.453
312,Half White Sub Roll,128.000,4.000,26.000,0.5
313,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
314,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
315,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
316,Honey Mustard,141.230,0.265,7.101,13.950000000000001
317,Honey Wheat Wrap,230.000,8.000,44.000,7.5
318,Hot Sauce,3.554,0.165,0.565,0.137
319,Italian Dressing,75.300,0.129,3.803,7.551
320,Italian Meats,187.705,17.728,3.650,15.062
321,Mayonnaise,189.000,0.000,0.000,23.626
322,Multigrain Artisan Bread,329.444,11.196,55.198,7.8420000000000005
323,Mustard Yellow,0.000,0.000,0.000,0.0
324,Olive Oil,235.918,0.000,0.000,30.372999999999998
325,Oregano,2.084,0.071,0.542,0.046
326,Panini Bread,397.770,12.754,76.178,4.436
327,Plain Wrap,260.000,8.000,47.000,7.5
328,Provolone Cheese,101.250,7.088,1.013,12.151
329,Provolone Cheese,101.250,7.088,1.013,12.151
330,Provolone Cheese,202.500,14.176,2.026,24.302
331,Ranch Dressing,118.182,0.192,0.466,14.401
332,Red Wine Vinegar,5.464,0.012,0.076,0.0
333,Roast Beef,185.976,32.264,0.000,7.12
334,Salt,0.000,0.000,0.000,0.0
335,Shredded Lettuce,3.969,0.255,0.841,0.045
336,Sliced American Cheese,103.761,5.141,1.355,13.826
337,Sliced American Cheese,103.761,5.141,1.355,13.826
338,Sliced American Cheese,207.522,10.281,2.709,27.651
339,Sliced Bacon,604.800,43.200,0.000,73.44
340,Sliced Bacon,302.400,21.600,0.000,36.72
341,Sliced Black Olives,32.602,0.238,1.774,3.43
342,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
343,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
344,Sliced Cheddar Cheese,228.826,14.176,0.000,30.374000000000002
345,Sliced Cucumber,4.253,0.184,1.029,0.041
346,Sliced Green Peppers,5.670,0.244,1.315,0.064
347,Sliced Jalapeno Peppers,7.655,0.261,1.344,0.29300000000000004
348,Sliced Onions,11.340,0.312,2.648,0.04
349,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
350,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
351,Sliced Pepper Jack Cheese,202.500,12.150,2.026,26.326
352,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
353,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
354,Sliced Swiss Cheese Cheese,222.832,15.286,0.816,27.906
355,Sliced Tomatoes,3.408,0.166,0.736,0.044
356,Sliced Turkey,121.500,20.252,4.052,3.036
357,Sourdough Bread,290.538,9.680,58.480,1.556
358,Tuna Salad,294.762,26.697,1.680,22.905
359,Fried Calamari with Thai Chili Sauce,322.851,11.353,42.555,14.287
360,Smokehouse Burger,1046.019,52.277,64.854,91.214
361,Battered Fish Sandwich,764.251,21.173,57.991,55.07
362,Beef Hot Dog,312.125,11.075,27.025,23.275
363,Beyond Burger,497.419,27.295,45.615,29.566
364,Beyond Cheeseburger,549.300,29.865,46.293,36.479
365,Beyond Double Burger,777.419,47.295,51.615,55.566
366,Beyond Double Cheeseburger,881.180,52.436,52.970,69.39099999999999
367,Black Bean Burger,378.382,20.373,57.723,10.608
371,Cheeseburger Single,664.215,33.574,41.976,55.133
372,Chicken Tenders,567.130,33.779,33.779,40.128
373,Double Cheeseburger,1066.297,59.882,42.618,101.998
374,Double Hamburger Single,962.536,54.742,41.263,88.172
375,Fried Chicken Sandwich,610.819,29.494,57.218,36.308
376,Fries,307.980,2.700,31.050,23.31
377,Gluten Free Grilled Cheese Sandwich,368.353,9.033,41.077,31.375
378,Grilled Cheese PSU,831.788,33.309,78.254,64.863
379,Grilled Cheese Sandwich,200.178,8.062,4.036,27.28
380,Grilled Chicken Breast,94.709,19.796,0.010,1.722
381,Grilled Chicken Sandwich,429.408,33.414,40.218,19.391
382,Hamburger Single,612.154,31.034,41.263,48.243
383,Mozzarella Sticks,452.954,17.627,28.351,38.673
384,Small Chicken Tenders & Fries,514.550,18.914,40.177,37.548
385,5 oz. Hamburger,350.382,23.708,0.000,39.929
386,Beef Cheesesteak,259.200,30.780,4.860,15.39
387,Beef Cheesesteak Half,129.600,15.390,2.430,7.695
388,Beyond Burger,280.000,20.000,6.000,26.0
389,Black Bean Burger,160.963,13.078,18.108,7.042
390,Chicken Cheesesteak,350.280,38.880,4.860,22.32
391,Chicken Cheesesteak Half,175.140,19.440,2.430,11.16
392,Dill Pickle Chips,0.996,0.000,0.199,0.0
393,Extra 5 oz. Hamburger,350.382,23.708,0.000,39.929
394,Extra Beef Cheesesteak,129.600,15.390,2.430,7.695
395,Extra Beyond Burger,280.000,20.000,6.000,26.0
396,Extra Black Bean Burger,160.963,13.078,18.108,7.042
397,Extra Chicken Cheesesteak,175.140,19.440,2.430,11.16
398,Extra Fried Breast of Chicken,276.120,15.876,17.010,18.639000000000003
399,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
400,GF Hamburger Roll,485.714,7.286,99.571,6.071
401,GF Sub Roll,470.000,12.000,76.000,15.0
402,Grilled Onions,112.870,1.498,11.184,8.292
403,Grilled Pepper Strips,32.926,0.627,4.571,1.883
404,Half White Sub Roll,128.000,4.000,26.000,0.5
405,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
406,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
407,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
408,Ketchup,33.353,0.000,8.338,0.0
409,Mayonnaise,189.000,0.000,0.000,23.626
410,Potato Roll,210.000,7.000,38.000,3.5
411,Provolone Cheese,101.250,7.088,1.013,12.151
412,Provolone Cheese,101.250,7.088,1.013,12.151
413,Provolone Cheese,202.500,14.176,2.026,24.302
414,Shredded Lettuce,3.969,0.255,0.841,0.045
415,Sliced American Cheese,103.761,5.141,1.355,13.826
416,Sliced American Cheese,103.761,5.141,1.355,13.826
417,Sliced American Cheese,207.522,10.281,2.709,27.651
418,Sliced Bacon,201.600,14.400,0.000,24.48
419,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
420,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
421,Sliced Cheddar Cheese,228.826,14.176,0.000,30.374000000000002
422,Sliced Monterey Jack Cheese,116.943,6.379,1.063,13.821000000000002
423,Sliced Monterey Jack Cheese,116.943,6.379,1.063,13.821000000000002
424,Sliced Monterey Jack Cheese,233.886,12.758,2.126,27.642000000000003
425,Sliced Onions,11.340,0.312,2.648,0.04
426,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
427,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
428,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
429,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
430,Sliced Swiss Cheese Cheese,222.832,15.286,0.816,27.906
431,Sliced Tomatoes,3.408,0.166,0.736,0.044
432,Beef Taco Salad,607.298,24.527,54.014,45.364
435,Bananas,107.085,1.311,27.481,0.532
436,Chicken Tenders,141.783,8.445,8.445,10.033
437,Extra Chicken Tenders,283.565,16.889,16.889,20.064999999999998
438,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
439,Feta Cheese,74.844,4.028,1.160,10.27
440,Grilled Chicken Breast,94.709,19.796,0.010,1.722
441,Oranges,118.440,2.369,29.610,0.33999999999999997
442,Red Apple,164.320,0.822,43.640,0.625
443,Honey Sriracha Chicken Pizza,544.676,22.381,59.031,37.028
444,Cheese Pizza,2627.528,133.416,305.032,155.424
445,Cheese Pizza Slice,328.441,16.677,38.129,19.428
446,Gluten Free Cheese Pizza,612.791,19.073,80.264,35.979
447,Pepperoni  Pizza,2913.296,144.328,305.696,191.704
448,Pepperoni  Pizza Slice,364.162,18.041,38.212,23.963
450,Chicken Pot Pie Soup 12 ozl,301.510,22.150,31.460,13.55
451,Chicken Pot Pie Soup 8 ozl,201.007,14.767,20.973,9.033
452,Half Beef & Chicken Cheese Steak Bar,345.591,24.255,36.982,13.859
453,Whole Beef & Chicken Cheese Steak Bar,691.182,48.511,73.964,27.718
454,Cajun Seafood Pasta,686.607,28.548,30.603,80.034
455,BBQ Sauce,51.786,0.000,13.464,0.0
456,Baby Spinach,6.521,0.811,1.029,0.129
457,Baked Ham,135.000,18.900,4.052,5.404
458,Balsamic Vinegar,37.620,0.210,7.280,0.0
459,Banana Pepper Rings,7.654,0.470,1.516,0.14200000000000002
460,Black Pepper,0.074,0.003,0.019,0.001
461,Canola Oil,112.500,0.000,0.000,14.063
462,Capicola,184.844,18.824,4.344,13.08
463,Chicken Salad Croissant,606.483,23.364,14.237,48.083
464,Chipotle Mayonnaise,214.029,0.288,1.076,26.953
465,Dill Pickle Spear,4.200,0.175,0.844,0.133
466,Extra Baked Ham,67.500,9.450,2.026,2.702
467,Extra Capicola,92.422,9.412,2.172,6.54
468,Extra Genoa Salami,147.988,7.144,1.076,18.18
469,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
470,Extra Grilled Chicken Strips,69.526,12.826,0.676,2.364
471,Extra Italian Meats,93.853,8.864,1.825,7.531
472,Extra Roast Beef,92.988,16.132,0.000,3.56
473,Extra Sliced Bacon,126.000,7.875,1.575,13.388
474,Extra Sliced Turkey,60.750,10.126,2.026,1.518
475,Extra Tuna Salad,147.381,13.349,0.840,11.453
476,Genoa Salami,295.976,14.288,2.152,36.36
477,Grated Parmesan Cheese,14.884,1.007,0.493,1.532
478,Grilled Chicken Breast,189.418,39.592,0.020,3.444
479,Half Baked Ham,67.500,9.450,2.026,2.702
480,Half Capicola,92.422,9.412,2.172,6.54
481,Half Chicken Tenders,212.674,12.667,12.667,15.049000000000001
482,Half Genoa Salami,147.988,7.144,1.076,18.18
483,Half Grilled Chicken Breast,94.709,19.796,0.010,1.722
484,Half Grilled Chicken Strips,69.526,12.826,0.676,2.364
485,Half Italian Meats,93.853,8.864,1.825,7.531
486,Half Roast Beef,92.988,16.132,0.000,3.56
487,Half Sliced Bacon,220.500,13.781,2.756,23.429000000000002
