,item_name,calories,protein,carbs,fat
32527,Crushed Red Pepper,5.289,0.200,0.942,0.34099999999999997
32528,Dill Pickle Chips,0.996,0.000,0.199,0.0
32529,Dill Pickle Spear,4.200,0.175,0.844,0.133
32530,Dried Basil,1.832,0.181,0.375,0.049
32531,Extra Baked Ham,67.500,9.450,2.026,2.702
32532,Extra Capicola,92.422,9.412,2.172,6.54
32533,Extra Chicken Tenders,212.674,12.667,12.667,15.049000000000001
32534,Extra Genoa Salami,147.988,7.144,1.076,18.18
32535,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
32536,Extra Italian Meats,93.853,8.864,1.825,7.531
32537,Extra Roast Beef,92.988,16.132,0.000,3.56
32538,Extra Sliced Bacon,302.400,21.600,0.000,36.72
32539,Extra Sliced Turkey,60.750,10.126,2.026,1.518
32540,Extra Tuna Salad,147.381,13.349,0.840,11.453
32541,GF Sub Roll,470.000,12.000,76.000,15.0
32542,GF Sub Roll,235.000,6.000,38.000,7.5
32543,Garlic Salt,0.000,0.000,0.000,0.0
32544,Genoa Salami,295.976,14.288,2.152,36.36
32545,Gluten Free Bread,196.364,2.182,39.272,6.545999999999999
32546,Gluten Free Plain Wrap,220.000,6.000,45.000,11.0
32547,Grated Parmesan Cheese,14.884,1.007,0.493,1.532
32548,Grilled Chicken Breast,189.418,39.592,0.020,3.444
32549,Half Baked Ham,67.500,9.450,2.026,2.702
32550,Half Capicola,92.422,9.412,2.172,6.54
32551,Half Chicken Tenders,212.674,12.667,12.667,15.049000000000001
32552,Half Genoa Salami,147.988,7.144,1.076,18.18
32553,Half Grilled Chicken Breast,94.709,19.796,0.010,1.722
32554,Half Italian Meats,93.853,8.864,1.825,7.531
32555,Half Roast Beef,92.988,16.132,0.000,3.56
32556,Half Sliced Turkey,60.750,10.126,2.026,1.518
32557,Half Tuna Salad,147.381,13.349,0.840,11.453
32558,Half White Sub Roll,128.000,4.000,26.000,0.5
32559,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
32560,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
32561,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
32562,Honey Mustard,141.230,0.265,7.101,13.950000000000001
32563,Honey Wheat Wrap,230.000,8.000,44.000,7.5
32564,Hot Sauce,3.554,0.165,0.565,0.137
32565,Italian Dressing,75.300,0.129,3.803,7.551
32566,Italian Meats,187.705,17.728,3.650,15.062
32567,Mayonnaise,189.000,0.000,0.000,23.626
32568,Multigrain Artisan Bread,329.444,11.196,55.198,7.8420000000000005
32569,Mustard Yellow,0.000,0.000,0.000,0.0
32570,Olive Oil,235.918,0.000,0.000,30.372999999999998
32571,Oregano,2.084,0.071,0.542,0.046
32572,Panini Bread,397.770,12.754,76.178,4.436
